antecedents,consequents,support,confidence,lift
"cp=asymptomatic, fbs=False, sex=Male",exang=True,0.1967,0.6115,1.6693
"exang=False, slope=upsloping",hr=high,0.1348,0.8052,1.6684
"exang=True, hr=medium, slope=flat",cp=asymptomatic,0.1152,0.8983,1.6662
"cp=atypical angina, fbs=False, no_disease",dp=mild,0.1217,0.8421,1.6661
"cp=asymptomatic, unknown",exang=True,0.1293,0.6103,1.666
"chol=high, dp=mild","exang=False, no_disease",0.1196,0.6077,1.664
"cp=atypical angina, hr=high, no_disease",exang=False,0.1152,0.955,1.6639
"age=40-50, exang=False",no_disease,0.1196,0.7432,1.6637
thal=normal,"exang=False, no_disease",0.1293,0.6071,1.6624
"cp=atypical angina, hr=high",dp=mild,0.1141,0.84,1.6619
"dp=mild, thal=normal","exang=False, fbs=False",0.1076,0.7279,1.6618
sex=Female,no_disease,0.1565,0.7423,1.6615
"ca=0.0, sex=Male",hr=high,0.1011,0.8017,1.6612
"exang=False, hr=high, slope=upsloping",no_disease,0.1,0.7419,1.6608
"cp=atypical angina, dp=mild, no_disease",exang=False,0.1315,0.9528,1.6601
"chol=high, exang=False, hr=high",no_disease,0.1152,0.7413,1.6593
"chol=high, cp=asymptomatic",exang=True,0.1261,0.6073,1.658
slope=upsloping,"exang=False, hr=high",0.1348,0.6108,1.6577
"age=40-50, fbs=False, no_disease",dp=mild,0.1065,0.8376,1.6572
"cp=atypical angina, dp=mild, fbs=False",exang=False,0.1239,0.95,1.6553
cp=atypical angina,"fbs=False, hr=high",0.1207,0.6379,1.6532
"bp=prehyper, exang=False, no_disease",dp=mild,0.1598,0.8352,1.6525
"disease, exang=True, sex=Male",cp=asymptomatic,0.1239,0.8906,1.652
"bp=prehyper, fbs=False, hr=high",no_disease,0.1315,0.7378,1.6515
"age=40-50, no_disease",dp=mild,0.1152,0.8346,1.6513
"exang=False, fbs=False, no_disease",dp=mild,0.263,0.8345,1.651
"dp=severe, exang=True",cp=asymptomatic,0.1141,0.8898,1.6505
"chol=high, dp=mild","exang=False, hr=high",0.1196,0.6077,1.6493
"exang=False, slope=upsloping","fbs=False, hr=high",0.1065,0.6364,1.6492
"chol=high, dp=mild, hr=high",no_disease,0.1033,0.7364,1.6485
"cp=atypical angina, exang=False, fbs=False",hr=high,0.1141,0.7955,1.6482
"cp=atypical angina, fbs=False, hr=high",exang=False,0.1141,0.9459,1.6482
"bp=hyper, exang=True",slope=flat,0.1,0.6174,1.6465
"bp=prehyper, hr=high, no_disease",dp=mild,0.1239,0.8321,1.6463
"dp=mild, thal=normal",no_disease,0.1087,0.7353,1.6459
ca=0.0,no_disease,0.1446,0.7348,1.6448
"cp=atypical angina, dp=mild",exang=False,0.1413,0.942,1.6414
"hr=high, sex=Female","exang=False, fbs=False",0.1,0.7188,1.6408
"bp=prehyper, dp=mild","exang=False, fbs=False",0.175,0.7187,1.6408
"ca=0.0, fbs=False",no_disease,0.1283,0.7329,1.6406
"bp=prehyper, dp=mild","fbs=False, no_disease",0.1533,0.6295,1.6405
"ca=0.0, hr=high","exang=False, fbs=False",0.1109,0.7183,1.6398
"exang=True, hr=medium",slope=flat,0.1283,0.6146,1.6389
"disease, exang=True",cp=asymptomatic,0.1391,0.8828,1.6374
"chol=high, exang=False","fbs=False, hr=high",0.1359,0.6313,1.6361
"disease, exang=True, fbs=False",cp=asymptomatic,0.1043,0.8807,1.6336
"cp=asymptomatic, exang=True, sex=Male",hr=medium,0.1641,0.6214,1.6334
"fbs=False, thal=normal",no_disease,0.1315,0.7289,1.6316
"bp=prehyper, dp=mild, no_disease",exang=False,0.1598,0.9363,1.6314
"bp=hyper, exang=True","cp=asymptomatic, fbs=False",0.1011,0.6242,1.6313
"age=40-50, exang=False",dp=mild,0.1326,0.8243,1.6309
"cp=atypical angina, hr=high",exang=False,0.1272,0.936,1.6309
"chol=high, no_disease","exang=False, fbs=False",0.1304,0.7143,1.6306
